Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Length (mm),Wet mass (g),Sex,Stomach Kept,Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/7/2018,2018,WET,TSL,AH2,POND,MT,LUCGOO,LG52,21.08,0.173,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,LUCGOO,LG53,18.85,0.126,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,LUCGOO,LG54,18,0.11,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
11/9/2018,2018,WET,SRS,BJB,POND,MT,LUCGOO,LG55,22.26,0.19,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
11/9/2018,2018,WET,SRS,BJB,POND,MT,LUCGOO,LG56,21.69,0.167,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
11/9/2018,2018,WET,SRS,BJB,POND,MT,LEPMIC,LMi01,51.93,4.073,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,POND TRAIL,MT,LUCGOO,LG57,18.44,0.102,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,POND TRAIL,MT,LUCGOO,LG58,26.25,0.292,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,MARSH,MT,LUCGOO,LG59,17.06,0.091,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,MARSH,MT,LUCGOO,LG60,16.77,0.092,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,MARSH,MT,LUCGOO,LG61,17.38,0.92,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LUCGOO,LG62,18.9,0.146,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LUCGOO,LG63,16.57,0.071,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LUCGOO,LG64,20.05,0.141,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LUCGOO,LG65,17.86,0.086,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LUCGOO,LG66,18.54,0.105,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,ENNGLO,EG02,10.25,0.039,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LEPMIC,LMi02,53.47,6.114,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LEPMIC,LMi03,45.2,3.34,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,LEPMIC,LMi04,36.25,1.737,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,ENNGLO,EG01,31.24,1.082,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG68,27.07,0.322,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG69,21.83,0.194,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG67,23.1,0.21,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG70,23.19,0.149,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG71,25.02,0.305,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG72,23.71,0.205,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG73,24.3,0.212,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG74,21.91,0.162,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG75,27.58,0.304,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG76,25.27,0.239,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG77,22.28,0.162,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG78,24.01,0.229,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG79,26.63,0.247,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG80,25.18,0.25,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,LUCGOO,LG81,24.7,0.227,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG82,17.72,0.097,3,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG83,25.34,0.26,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG84,22.09,0.188,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG85,20.6,0.155,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG86,22.62,0.201,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG87,19.21,0.116,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,LUCGOO,LG88,26.1,0.277,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,HETFOR,HF06,16.07,0.108,2,N,parasite (camallanus) as HF6P,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,NEAR POND,MT,GAMHOL,GH03,27.63,0.436,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,NEAR POND,MT,LUCGOO,LG89,23.05,0.226,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,NEAR POND,MT,CICBIM,CB01,36.67,2.446,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,NEAR POND,MT,CICMAN,CM01,42.47,2.715,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG90,24.18,0.23,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG91,24.21,0.248,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG92,25.4,0.275,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG93,25.25,0.266,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG94,25.32,0.252,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG95,21.04,0.147,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG96,25.63,0.293,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,LUCGOO,LG97,25.21,0.245,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/11/2018,2018,WET,TSL,AH3,POND,MT,NOTPET,NP03,21.37,0.118,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,MACSIA,MS01,144.96,151.44,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,NOTPET,NP04,26.81,0.231,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,NOTPET,NP05,21.91,0.105,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG100,22.35,0.203,2,N,SKIPPED LG98 AND LG99,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG101,23.18,0.211,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG102,23.32,0.171,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG103,24.92,0.253,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG104,25.82,0.241,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
